Channel Title,Channel Username,Message ID,Message,Date,Media Path
Doctors Ethiopia,@DoctorsET,864,"https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL   👈👈

በቀን አንዴ ብቻ የሚባለው የቢዝነስ አማካሪ 

በ 10,000 ብር ብቻ የተጀመረ ቢዝነስ እስከ ሚሊየኖች ያየገው የፕራግማ ኢንቨስትመንት መስራች መርድ ብስራት 

ብላክ ማርኬት ዋጋ ማነው ሚተምነው ?

ኢትዮጵያ ውስጥ ቢዝነስ ለመጀመር ጥሩ ሰአት ነው ወይ ??

3 ቢዝነስ ስንጀምር የምንሰራው ስህተቶች !

አሁኑኑ ይመልከተቱ  👇👇

https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL",2023-12-18 17:04:02+00:00,photos\@DoctorsET_864.jpg
Doctors Ethiopia,@DoctorsET,863,"ዶክተርስ ኢትዮጵያ በ አዲስ አቀራረብ በ ቴሌቪዥን ፕሮግራሙን ለመጀመር ከፋተኛ ዝግጅት በማድረግ ላይ ይገኛል ።

ዩሃንስ ግርማ ጆኒ ( በ ቲክቶክ ከ 500,000) በላይ ተከታይ ያገኘው ከ አሜሪካ ወደ ኢትዮጵያ 
ገንዳ ውስጥ ከመተኛት እስከ ከፋተኛ ተከፋይ በኢትዮጵያ ( 1 take production ) በመባል የሚታወቀው ዩሃንስ ግርማ ( ጆኒ) 

ከዲፕሬሽን እስከ ታዋቂነትን ያተረፈው ጆኒ 

አሁኑኑ ይመልከቱ 👇

https://youtu.be/gwVN5eJQpko?si=xARsSxIEdZtE91GY",2023-11-03 16:14:39+00:00,photos\@DoctorsET_863.jpg
Doctors Ethiopia,@DoctorsET,862,"ሞት በስኳር 

ለልጆቻችን የምናሲዘው ምሳቃ ሳናቀው እድሚያቸውን ይቀንሰው ይሆን 

የታሸገ ትክክለኛ ጁስ ኢትዮጵያ ውስጥ የለም...!

ሁሉም ወላጅ ሊያየው የሚገባ

የታሸጉ ጁሶች መጠጣት እራስን ለከፍተኛ ጉዳት እስከ ሞት ድረስ ማጋለጥ ነው !

ለሁሉም ኢኮኖሚ ጤናንም የሚጠብቅ አመጋገብ የቱ ነው??

https://youtu.be/oHiSRrNF7I0?si=Absgm414YSt_kjNq",2023-10-02 16:37:39+00:00,photos\@DoctorsET_862.jpg
Doctors Ethiopia,@DoctorsET,861,"ከ HIV የተፈወሰ ሰው አጋጥሟችሁ ያቃል ? ፈውስ እና ህክምና ?

ሙሉ ቪዲዮውን ተመልክተው ሃሳብ አስተያየቶን ያካፍሉን 👇👇👇👇

https://youtu.be/tTeErZxIh_Q?si=jKHyfWcC3sfXbC8L",2023-09-16 07:54:32+00:00,photos\@DoctorsET_861.jpg
Doctors Ethiopia,@DoctorsET,860,"በቅርብ ጊዜ በሃገራችን ላይ እየተስተዋለ ያለ የተመሳሳይ ፆታ ( Homosexuality ) ግብረ ሰዶም በተለያዩ ቦታዎች ላይ እየታየ ይገኛል

ይህም አጥብቀን ምንቃወመው ጉዳይ ሲሆን 

- ይህ ችግር በህምና ይለያል ወይ ?
- ቅድመ ምልክት አለው ወይ ?

ወላጆች ልጆቻችሁን እንዴት መጠበቅ ትችላለቹ ህክምናስ አለው ወይ ??

በምንመገበው ምግብ ሊቀይሩየን ይችላሉ ወይ ? 

አሁኑኑ ገብተው ሙሉ ቪዲዮውን ይመልከቱ !

https://youtu.be/0k65P5ouw7s?si=qaUgo75bUa3AMQxD",2023-09-01 16:16:15+00:00,photos\@DoctorsET_860.jpg
Doctors Ethiopia,@DoctorsET,859,"👇👇👇👇👇👇 https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc  

ዶክተርስ ኢትዮጽያ በአዲስ ፕሮገራም ጀመረ

ማረጥ  (ሜኖፖዝ ) ጋር ተያይዞ የሚመጣ ሴቶች ላይ የሚከሰት የጤና ችግሮች

ሴቶች ላይ የሚከሰት የ ግብረስጋ ግንኙነት ስሜት መቀነስ ?


የሴቶች የወር አበባ ግዜ እና ሌሎችም ጉዳዮች ተነስተዋል አሁኑኑ ይመልከቱ !!


ከ ቴሌቪዥን ፕሮግራሞቻችን በተጨማሪ አዲስ በልዩ አቀራረብ ይበልጥ የናንተን የተመልካች ጥያቄ ለመመለስ 

ይህን የመሰለ ፕሮግራም ይዘን መተናል 


የጤና ጥያቄዎን ለመላክ @doctorsEt 


https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc",2023-08-29 17:20:05+00:00,photos\@DoctorsET_859.jpg
Doctors Ethiopia,@DoctorsET,848,"ክረምቱን ስፖርት መስራት አስበው ጂም ለመግባት ካልቻሉ ባሉበት ቦታ ሆነው

እነዚህን እንቅስቃሴዎች በማድረግ በ አጭር ግዜ ውስጥ ለውጥ ማምጣት ይችላሉ 

እቤትዎ ሆነው ጠዎት ወይንም ማታ ላይ በ 5 ደቃቃ ውስጥ ብቻ 

- የጎን ቦርጭ(ስብ) ለማጥፋት 
- ቀንዎን በንቃት ለመጀመር 

እነዚህን እንቅስቃሴዎች ያድርጉ 
ለሁሉም እድሜ ክልል የሚሆን እንቅስቃሴ ስለሆነ ከ ቤተሰቦ ጋር መስራት ይችላሉ !!

ሊንኩን በመጫን ይመልከቱ / ዶክተርስ ኢትዮጵያ 
👇👇👇👇👇
https://youtu.be/0uiTzjEbh90",2022-08-02 17:42:08+00:00,photos\@DoctorsET_848.jpg
Doctors Ethiopia,@DoctorsET,847,"ስፖርት የመስራት ሱስ ይኖር ይሆን?

በአሁኑ ወቅት ብዙ የስፖርት መስሪያ ቦታዎች ተጨናንቀው ይታያል

ስፖርት መስራት ለጤና ጠቃሚ ቢሆንም እንዳንድ ግዜ ግን ከዛ በላይም አልፎ ስፖርት ካልሰራው ዲፕሬሽን ውስጥ ገባለው / ሰውነቴ ይበላሻል የሚሉ ሰዎችም አሉ!

ሱስ ማለት ራስን ለ ሆነ ነገር ተገዢ ማድረግ ነው! 

   ስለዚህ ስፖርት መስራት እውነት ሱስ ይሆን?

👇👇👇 ሙሉ ቪዲዮውን በ ዮቲውብ ይመልከቱ 

 ስፖርት ቤት (ጂም) ለሚያበዙ ሁሉ ሼር ያድርጉ!
👇👇👇
https://youtu.be/WPlRuRtQXN8",2022-06-12 17:15:47+00:00,photos\@DoctorsET_847.jpg
Doctors Ethiopia,@DoctorsET,846,"ድንገተኛ አደጋ / የአጥንት ስብራት

አያርገውና ድንገተኛ የሆነ አደጋ ቢደርስቦ ምን ማድረግ እንዳለቦ ያቃሉ?

በሃገራችን የመኪና አደጋ በ ከፍተኛ ደረጃ አየጨመረ እና የብዙ ሰዎችን ሂወት እየቀጠፈም ይገኛል ።

በሃገራችን ያለውም ወቅታዊ ሁኔታም ጦርነቶች ብዙ ሰዎችን ለ ድንገተኛ የሆነ አደጋዎች : ስብራቶች ያጋልጣል።

ዶ/ር ቃልቂዳን (አጥንት ስፔሻሊስት ሃኪም) ስለ ድንገተኛ አደጋ እና ስብራቶች አብራርቶልናል

እርሶም ይህ ችግር ቢደርስቦ ማድረግ ያለቦትን ነገር ቀድመው ይወቁ 

ዶክተርስ ኢትዮጵያ በ አዳዲስ ፕሮግራሞችና የናንተን ጥያቄዎች በሶሻል ሚዲያ መልስ የሚያገኙበትን መንገድ እያስተካከልን ሲሆን ከ ትንሽ የ እረፍት ግዜያት በኋላ በ ቴሌቪዥን ፕሮግማችን በ ፋና ቴሌቪዥን ያገኙናል

ከታች ያለውን በመጫን ይመልከቱ!
👇👇👇👇👇👇👇
https://youtu.be/QI-8oqW80uI",2022-05-31 17:51:13+00:00,photos\@DoctorsET_846.jpg
Doctors Ethiopia,@DoctorsET,845,"ከትንሽ ግዚያት በፊት ስፖርት መስራት እንደ ቅንጦት ይታይ ነበር አሁን ላይ ግን በ ስፖርት መስራያ ቦታዎች ላይ ብዙዎች ሲሰሩ ይታያል

ይህንንም ተከትሎ ስፖርት ማወቅ ያለብን በጣም አስፈላጊ ነገር አለ!

ብዙ ሰው አንድ አመት ያህል ሰርቻለው ለውጥ ምንም የለኝም ! ስፖርት ጥቅም የለውም ይላል

እኛ ምን መስራት እንዳለቦት ሚስጥሩን እንንገሮት!
  ከዚ በኋላ ጊዜዎን ሳያባክኑ በአጭር ግዜ ውስጥ 
ለውጦን ያያሉ።

በዚህ ዮቲውብ ቪዲዮ ላይ 

ምን መስራት እንዳለቦት ለ ጀማሪ እንዲሁም በመስራት ላይ ላላቹ 

አጭር ቪዲዮ ይመልከቱ
👇👇👇👇👇👇
https://youtu.be/_IEWt07bECg",2022-05-20 18:04:53+00:00,photos\@DoctorsET_845.jpg
